ds	dd	Month	Month1	Year	mn	oat	fkf	pl	aa	tot	DS tot	ow	DS ow	rs	DS rs	dt	DS dt	ftp	DS ftp	cc	DS cc	to	DS to
day	2022-3-31	3	0	2022	3/2022	Plant	#1	Black sea	0	64	0	2	0	146	0	212	0	9	0	154	0	366	0
day	2022-4-1	4	0	2022	4/2022	Plant	#1	Black sea	0	158	0	199	0	122	0	479	0	20	0	189	0	668	0
day	2022-4-4	4	0	2022	4/2022	Plant	#1	Black sea	0	79	0	6	0	114	0	199	0	8	0	114	0	313	0
day	2022-4-5	4	0	2022	4/2022	Plant	#1	Black sea	0	22	0	161	0	60	0	243	0	10	0	108	0	351	0
day	2022-4-6	4	0	2022	4/2022	Plant	#1	Black sea	0	153	0	197	0	113	0	463	0	20	0	132	0	595	0
day	2022-4-7	4	0	2022	4/2022	Plant	#1	Black sea	0	47	0	116	0	52	0	215	0	9	0	89	0	304	0
day	2022-4-8	4	0	2022	4/2022	Plant	#1	Black sea	0	39	0	500	0	69	0	162	0	7	0	63	0	225	0
month	2022-4-8	3	3	2022	3/2022	Plant	#1	Black sea	23	3079	133	3783	164	3386	147	10248	445	431	18	3699	160	13947	606
month	2022-4-8	4	4	2022	4/2022	Plant	#1	Black sea	12	1540	67	1892	82	1693	74	5124	223	216	9	1850	80	6974	303
day	2022-5-1	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	177	0	98	0	91	0	366	0	15	0	195	0	561	0
day	2022-5-2	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	105	0	87	0	62	0	254	0	11	0	183	0	437	0
day	2022-5-3	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	89	0	113	0	32	0	234	0	10	0	2	0	236	0
day	2022-5-4	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	111	0	186	0	159	0	456	0	19	0	77	0	533	0
day	2022-5-5	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	115	0	35	0	8	0	158	0	6	0	105	0	263	0
day	2022-5-6	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	153	0	170	0	89	0	412	0	17	0	159	0	571	0
day	2022-5-7	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	164	0	57	0	105	0	326	0	14	0	39	0	365	0
day	2022-5-7	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	190	0	10	0	0	0	200	0	8	0	98	0	298	0
day	2022-5-8	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	174	0	127	0	49	0	350	0	15	0	183	0	533	0
day	2022-5-9	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	183	0	15	0	27	0	225	0	9	0	181	0	406	0
day	2022-5-10	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	191	0	150	0	157	0	498	0	21	0	28	0	526	0
day	2022-5-11	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	27	0	0	0	37	0	64	0	2	0	49	0	113	0
day	2022-5-12	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	194	0	18	0	111	0	323	0	14	0	33	0	356	0
day	2022-5-13	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	52	0	66	0	140	0	258	0	11	0	53	0	311	0
day	2022-5-14	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	127	0	52	0	93	0	272	0	11	0	195	0	467	0
day	2022-5-15	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	85	0	97	0	162	0	344	0	14	0	70	0	414	0
day	2022-5-16	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	162	0	119	0	171	0	452	0	19	0	87	0	539	0
day	2022-5-17	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	63	0	132	0	192	0	387	0	16	0	186	0	573	0
day	2022-5-18	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	2	0	70	0	69	0	141	0	6	0	195	0	336	0
day	2022-5-19	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	28	0	115	0	177	0	320	0	13	0	144	0	464	0
day	2022-5-20	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	157	0	54	0	18	0	229	0	9	0	174	0	403	0
day	2022-5-21	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	103	0	72	0	61	0	236	0	10	0	57	0	293	0
day	2022-5-22	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	176	0	46	0	143	0	365	0	15	0	25	0	390	0
day	2022-5-23	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	127	0	151	0	8	0	286	0	12	0	42	0	328	0
day	2022-5-24	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	118	0	131	0	102	0	351	0	15	0	161	0	512	0
day	2022-5-25	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	128	0	139	0	17	0	284	0	12	0	135	0	419	0
day	2022-5-26	5	0	2022	5/2022	Plant	#2	Mediterranean Sea	0	129	0	5	0	34	0	168	0	7	0	2	0	170	0
day	2022-6-1	6	0	2022	6/2022	Plant	#2	Mediterranean Sea	0	120	0	88	0	47	0	255	0	11	0	181	0	436	0
day	2022-6-2	6	0	2022	6/2022	Plant	#2	Mediterranean Sea	0	60	0	18	0	194	0	272	0	11	0	18	0	290	0
day	2022-6-2	6	0	2022	6/2022	Plant	#2	Mediterranean Sea	0	78	0	62	0	42	0	182	0	7	0	12	0	194	0
day	2022-6-4	6	0	2022	6/2022	Plant	#2	Mediterranean Sea	0	100	0	117	0	179	0	396	0	17	0	44	0	440	0
day	2022-6-5	6	0	2022	6/2022	Plant	#2	Mediterranean Sea	0	2	0	45	0	73	0	120	0	5	0	192	0	312	0
day	2022-6-6	6	0	2022	6/2022	Plant	#2	Mediterranean Sea	0	199	0	600	0	128	0	421	0	18	0	98	0	519	0
month	2022-6-8	5	5	2022	5/2022	Plant	#2	Mediterranean Sea	23	3889	169	2739	119	2977	129	9605	417	400	17	3403	147	13008	565
month	2022-6-8	6	6	2022	6/2022	Plant	#2	Mediterranean Sea	12	1945	85	1370	60	1489	65	4803	209	200	9	1702	74	6504	283
